書名,作者,語言,折扣,價格,連結
Python遊戲開發(PyGame基礎篇),曹永忠  蔡英德  許智誠,中文書,9,585,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0011006265/page/2/idx/22/cat/001/pdf/1/spell/3
一本精通 - Python 範例應用大全：Python 詳細語法教學 & 100+ 個 Python 範例,OXXO（張宗彥）,中文書,79,695,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010964726/page/2/idx/23/cat/001/pdf/1/spell/3
培養刷題基本功|Python程式設計師的頭腦體操,増井敏克  許郁文,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010907643/page/2/idx/24/cat/001/pdf/1/spell/3
圖解資料結構 × 演算法：運用 Python 結合 ChatGPT 輔助驗證及寫程式,胡昭民,中文書,75,510,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010963817/page/2/idx/25/cat/001/pdf/1/spell/3
Python AI人員必修的科學計算：數學、機率、統計、演算法,毛悅悅  畢文斌,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010948987/page/2/idx/26/cat/001/pdf/1/spell/3
Python演算法交易,Yves Hilpisch  藍子軒,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010897570/page/2/idx/27/cat/001/pdf/1/spell/3
遞迴演算法大師親授面試心法：Python 與 JavaScript 解題全攻略,Al Sweigart  江玠峰,中文書,75,510,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010994318/page/2/idx/28/cat/001/pdf/1/spell/3
Python精解實例：PySide 6/PyQt 6強大開發親身體驗,孫洋洋  王碩,中文書,9,1152,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010970096/page/2/idx/29/cat/001/pdf/1/spell/3
Deep Learning 2|用Python進行自然語言處理的基礎理論實作,斎藤康毅  吳嘉芳,中文書,9,612,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010817138/page/2/idx/30/cat/001/pdf/1/spell/3
Python風格徹底研究|超詳實、好理解的Python必學主題,Jason C McDonald  H&C,中文書,75,735,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010980722/page/2/idx/31/cat/001/pdf/1/spell/3
